Private Entity,External URI,Confidence
http://example.org/private#Abdus_Salam,http://www.wikidata.org/entity/Q28189,0.95
http://example.org/private#Ada_Lovelace,http://www.wikidata.org/entity/Q7259,0.95
http://example.org/private#Ada_Yonath,http://www.wikidata.org/entity/Q7426,0.95
http://example.org/private#Alain_Aspect,http://www.wikidata.org/entity/Q364997,0.95
http://example.org/private#Alan_Turing,http://www.wikidata.org/entity/Q7251,0.95
http://example.org/private#Albert_Einstein,http://www.wikidata.org/entity/Q937,0.95
http://example.org/private#Barbara_McClintock,http://www.wikidata.org/entity/Q199654,0.95
http://example.org/private#Carlo_Rubbia,http://www.wikidata.org/entity/Q187199,0.95
http://example.org/private#Dorothy_Hodgkin,http://www.wikidata.org/entity/Q7487,0.95
http://example.org/private#Emmanuelle_Charpentier,http://www.wikidata.org/entity/Q17280087,0.95
http://example.org/private#Enrico_Fermi,http://www.wikidata.org/entity/Q8753,0.95
http://example.org/private#Erwin_Schrodinger,http://www.wikidata.org/entity/Q9130,0.95
http://example.org/private#Frances_Arnold,http://www.wikidata.org/entity/Q4273363,0.95
http://example.org/private#Francis_Crick,http://www.wikidata.org/entity/Q123280,0.95
http://example.org/private#Frederick_Sanger,http://www.wikidata.org/entity/Q151564,0.95
http://example.org/private#George_Smith,http://www.wikidata.org/entity/Q1009506,0.95
http://example.org/private#Georges_Charpak,http://www.wikidata.org/entity/Q153178,0.95
http://example.org/private#Gertrude_Elion,http://www.wikidata.org/entity/Q35703,0.95
http://example.org/private#Grace_Hopper,http://www.wikidata.org/entity/Q11641,0.95
http://example.org/private#James_Watson,http://www.wikidata.org/entity/Q83333,0.95
http://example.org/private#Jennifer_Doudna,http://www.wikidata.org/entity/Q56068,0.95
http://example.org/private#John_Fenn,http://www.wikidata.org/entity/Q106738,0.95
http://example.org/private#Kary_Mullis,http://www.wikidata.org/entity/Q157224,0.95
http://example.org/private#Leon_Lederman,http://www.wikidata.org/entity/Q192695,0.95
http://example.org/private#Linus_Pauling,http://www.wikidata.org/entity/Q48983,0.95
http://example.org/private#Lise_Meitner,http://www.wikidata.org/entity/Q56189,0.95
http://example.org/private#Marie_Curie,http://www.wikidata.org/entity/Q7186,0.95
http://example.org/private#Martin_Chalfie,http://www.wikidata.org/entity/Q106699,0.95
http://example.org/private#Max_Planck,http://www.wikidata.org/entity/Q9021,0.95
http://example.org/private#Murray_Gell_Mann,http://www.wikidata.org/entity/Q172840,0.95
http://example.org/private#Niels_Bohr,http://www.wikidata.org/entity/Q7085,0.95
http://example.org/private#Osamu_Shimomura,http://www.wikidata.org/entity/Q205345,0.95
http://example.org/private#Paul_Dirac,http://www.wikidata.org/entity/Q47480,0.95
http://example.org/private#Peter_Higgs,http://www.wikidata.org/entity/Q192112,0.95
http://example.org/private#Richard_Feynman,http://www.wikidata.org/entity/Q39246,0.95
http://example.org/private#Roger_Tsien,http://www.wikidata.org/entity/Q200470,0.95
http://example.org/private#Rosalind_Franklin,http://www.wikidata.org/entity/Q7474,0.95
http://example.org/private#Sheldon_Glashow,http://www.wikidata.org/entity/Q107420,0.95
http://example.org/private#Steven_Weinberg,http://www.wikidata.org/entity/Q179282,0.95
http://example.org/private#Werner_Heisenberg,http://www.wikidata.org/entity/Q40904,0.95
http://example.org/private#Cetus_Corporation,http://www.wikidata.org/entity/Q5065711,0.95
http://example.org/private#Columbia_University,http://www.wikidata.org/entity/Q49088,0.95
http://example.org/private#Duke_University,http://www.wikidata.org/entity/Q168751,0.95
http://example.org/private#Harvard_University,http://www.wikidata.org/entity/Q13371,0.95
http://example.org/private#Humboldt_University_Berlin,http://www.wikidata.org/entity/Q2047280,0.95
http://example.org/private#Imperial_College_London,http://www.wikidata.org/entity/Q189022,0.95
http://example.org/private#Institute_for_Advanced_Study,http://www.wikidata.org/entity/Q635642,0.95
http://example.org/private#Kaiser_Wilhelm_Institute,http://www.wikidata.org/entity/Q324178,0.95
http://example.org/private#Kings_College_London,http://www.wikidata.org/entity/Q245247,0.95
http://example.org/private#Marine_Biological_Laboratory,http://www.wikidata.org/entity/Q500632,0.95
http://example.org/private#Max_Planck_Institute,http://www.wikidata.org/entity/Q6019423,0.95
http://example.org/private#Salk_Institute,http://www.wikidata.org/entity/Q1351061,0.95
http://example.org/private#Sorbonne_University,http://www.wikidata.org/entity/Q41497113,0.95
http://example.org/private#Universite_Paris_Saclay,http://www.wikidata.org/entity/Q109409389,0.95
http://example.org/private#University_of_California_Berkeley,http://www.wikidata.org/entity/Q168756,0.95
http://example.org/private#University_of_California_San_Diego,http://www.wikidata.org/entity/Q622664,0.95
http://example.org/private#University_of_Chicago,http://www.wikidata.org/entity/Q131252,0.95
http://example.org/private#University_of_Copenhagen,http://www.wikidata.org/entity/Q186285,0.95
http://example.org/private#University_of_Edinburgh,http://www.wikidata.org/entity/Q160302,0.95
http://example.org/private#University_of_Leipzig,http://www.wikidata.org/entity/Q154804,0.95
http://example.org/private#University_of_London,http://www.wikidata.org/entity/Q170027,0.95
http://example.org/private#University_of_Manchester,http://www.wikidata.org/entity/Q230899,0.95
http://example.org/private#University_of_Missouri,http://www.wikidata.org/entity/Q579968,0.95
http://example.org/private#University_of_Oxford,http://www.wikidata.org/entity/Q34433,0.95
http://example.org/private#University_of_Texas,http://www.wikidata.org/entity/Q49213,0.95
http://example.org/private#University_of_Vienna,http://www.wikidata.org/entity/Q165980,0.95
http://example.org/private#Weizmann_Institute,http://www.wikidata.org/entity/Q4182,0.95
http://example.org/private#CERN,http://www.wikidata.org/entity/Q42944,0.95
http://example.org/private#Cold_Spring_Harbor_Laboratory,http://www.wikidata.org/entity/Q609768,0.95
http://example.org/private#University_of_Cambridge,http://www.wikidata.org/entity/Q35794,0.95
http://example.org/private#Yale_University,http://www.wikidata.org/entity/Q49112,0.95
http://example.org/private#California_Institute_of_Technology,http://www.wikidata.org/entity/Q161562,0.95
http://example.org/private#Presidential_Medal_of_Freedom,http://www.wikidata.org/entity/Q17144,0.95
http://example.org/private#Nobel_Prize_in_Physiology,http://www.wikidata.org/entity/Q80061,0.95
http://example.org/private#Nobel_Prize_in_Chemistry,http://www.wikidata.org/entity/Q44585,0.95
http://example.org/private#Nobel_Prize_in_Physics,http://www.wikidata.org/entity/Q38104,0.95
